职位名称,工作地点,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司规模,公司主页,发布日期
其他客服职位,上海-浦东,1-3年,不限,5000-8000元,快速消费品(食...,1人,"包住,带薪年假",岗位职责:1、各论坛发表关于香水的文章2、负责管理运营店铺3、完成店长安排的其他工作任职资格:1、有丰厚的文案功底，热爱香水2、对营销有经验3、有责任心有耐心4、朝三暮四的请绕道工作时间:1、做六休一，长白班。（周六休息一天）2、试用期结束后可住宿舍3、满一年有5天带薪年假福利,上海鸣琳实业有限公司,快速消费品(食...,100-499人,http://www.ganji.com/gongsi/105411880/,2018/1/3
软件工程师,北京-海淀,不限                        ,高中,5000-8000元,计算机/网络/通信,12人,"包住,房补,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,加班补助,做五休二,年底双薪",一、岗位职责:1、全程参与软件项目的需求分析、设计、开发及测试等几个阶段；2、参与软件质量管理，负责保障代码质量，软件项目的持续优化、改进工作；3、参与技术难题攻关、组织技术积累、分析并解决软件开发过程中的问题；4、配合项目经理完成相关任务目标。二、岗位要求：1、大专以上学历，有计算机语言者优先(C语言、C++、C#、JAVA、.Net、PHP等一种即可)；2、计算机（应用、网络、科学技术）、软件工程、电子信息、机械、自动化等相关专业；3、学习能力强，喜欢研究新技术，良好的沟通能力及团队合作精神，责任心强；4、可接收签三方协议的实习生。三、职业规划：1、技术型发展计划：软件开发工程师——领队/系统分析——系统架构设计——技术领导——首席技术官（CTO）2、管理型发展计划：软件开发工程师——领队/系统分析——项目经理/领域专家——高级项目经理——项目负责人四、相关待遇：1、薪资待遇：按进入的项目组及负责的相关模块不同，在6000—9000元/月不等，并享有项目津贴及年终奖等相应奖金。2、工作时间：周一至周五，9:00——18:00，休息日均按国家法定假日施行。3、享受国家规定的保险福利待遇（五险一金、带薪年假、各项补助等）；4、公司福利：餐费补贴、通讯补贴、电脑补贴、专业培训、节日福利等。,北京彼端科技有限公司,计算机/网络/通信,500-999人,http://www.ganji.com/gongsi/105574237/?postUser=686758911,2017/12/12
数据运营,上海-虹口,不限                        ,高中,5000-8000元,教育/培训,6人,"包吃,包住,餐补,房补,交通补助,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,加班补助,做五休二,年底双薪,员工体检",任职要求：1、高中及以上学历，专业不限；2、热爱互联网行业，务实进取，善于学习，乐于交流；3、工作认真、细心、负责，有较强的沟通及表达能力，较强的团队合作精神；4、欢迎优秀的应往届毕业生加入；5、提供各大客户公司此岗位的项目机会；6、2-3个月有偿岗前实训，后期月入分期还；7、男女不限，年龄18-28岁为佳福利待遇：1、基本薪资5000起，另有项目奖金和提成；2、五险一金，双休、法定节假日，正常休息；3、公司工作环境优雅、氛围好，同事关系融洽，生日派对、聚餐等活动丰富；4、公司注重员工培养，给予晋升机会，管理层主要员工中培养、提拔；5、本岗位可根据实际情况，就近安排工作地点。,青麦（上海）职业技能培训有限公司,教育/培训,100-499人,http://www.ganji.com/gongsi/105174568/?postUser=723207823,2017/9/11
机械工程师,北京-NULL,不限                        ,大专,8000-12000元,计算机/网络/通信,21人,"包住,话补,养老保险,医疗保险,工伤保险,生育保险,住房公积金,带薪年假,加班补助,做五休二,年底双薪,员工体检","任职要求：1.大专及以上文凭。专业不限，要有一定的逻辑思维,热爱互联网工作；2.有无基础都可以，但必须对java软件开发行业有兴趣；热爱互联网，喜欢从事IT技术类工作；3.学习能力强，工作热情高，富有责任感，在项目经理指导下完成商业项目的开发；4.欢迎优秀应届毕业生前来应聘。（学习能力强者可宽松学历要求）参与项目需求分析和设计；完成软件系统代码的实现，编写代码注释和开发文档；辅助进行系统的功能定义,程序设计；根据设计文档或需求说明完成代码编写，调试，测试和维护；分析并解决软件开发过程中的问题；协助测试工程师制定测试计划，定位发现的问题；配合项目经理完成相关任务目标；具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神福利待遇：1、公司提供免费住宿，6-8人间，24小时热水，空调，独立卫生间。2、实习薪资实习期间包住，薪资为项目提成，多劳多得，不设上限。3、上班时间五天制，早上九点到下午六点，中午休息两小时，周六日双休。",互联网佳（北京）信息服务有限公司,计算机/网络/通信,1000-9999人,http://www.ganji.com/gongsi/105372931/?postUser=690773884,2017/12/8
数据运营,上海-闵行,不限,大专,3000-5000元,金融/银行/投...,1人,"养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,做五休二",岗位职责：1、负责后台数据的监控，跟踪及维护；2、负责业务数据的总统计及汇总；3、协助数据主管日常工作。岗位要求：1、大专及以上学历，金融、统计或计算机等相关专业优先；2、熟练使用office办公软件，尤其是Excel的使用；3、有良好的服务意识，沟通能力和逻辑分析能力，性格开朗。工作时间：周一至周五9:00-11:3013:00-17:30法定节假日休息12号线七莘路地铁站步行3分钟即到,上海证券之星综合研究有限公司,金融/银行/投...,500-999人,http://www.ganji.com/gongsi/105509723/,2017/12/26
数据运营,上海-黄浦,不限                        ,大专,5000-8000元,教育/培训,6人,"包吃,包住,餐补,房补,交通补助,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,加班补助,做五休二,年底双薪,员工体检",岗位要求：1、热爱计算机开发行业，计划长期在IT行业内工作发展；2、应届生优先，软件工程、计算机、通信工程等优先录用，有相关基础的其他专业亦可；3、有较好的逻辑能力和对新知识的接受和学习能力4、提供各大客户公司软件测试/开发岗位项目机会；5、善于学习和总结分析，有良好的工作态度和团队合作精神；6、2-3个月有偿岗前实训，后期月入分期还；7、具有较强的团队意识、和集体的荣誉意识；能够长期发展；与公司共同成长；8、男女不限，19-26岁为佳福利待遇：1、基本薪资5000起，另有项目奖金和提成；2、五险一金，双休、法定节假日，正常休息；3、公司工作环境优雅、氛围好，同事关系融洽，生日派对、聚餐等活动丰富；4、公司注重员工培养，给予晋升机会，管理层主要员工中培养、提拔；5、本岗位可根据实际情况，就近安排工作地点。,青麦（上海）职业技能培训有限公司,教育/培训,100-499人,http://www.ganji.com/gongsi/105174568/?postUser=427003022,2017/12/31
售后/客户服务,北京-海淀,不限                        ,不限,5000-8000元,计算机/网络/通信,4人,"包吃,包住,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,加班补助,做五休二,年底双薪,员工体检","岗位职责：1、完成软件系统代码的实现，编写代码注释和开发文档；2、辅助进行系统的功能定义,程序设计；3、根据设计文档或需求说明完成代码编写，调试，测试和维护；4、分析并解决软件开发过程中的问题；5、协助测试工程师制定测试计划，定位发现的问题；6、配合项目经理完成相关任务目标。任职资格：1、计算机或相关专业专科学历以上；2、1年以上软件开发经验；3、熟悉面向对象思想，精通编程，调试和相关技术；4、熟悉应用服务器的安装、调试、配置及使用；5、具备需求分析和系统设计能力，、以及较强的逻辑分析和独立解决问题能力；6、能熟练阅读中文、英文技术文档；富有团队精神,责任感和沟通能力。工作地址：北京中关村软件园\xa0\xa0官方网址：www.zparkedu.com",互联网佳（北京）信息服务有限公司,计算机/网络/通信,1000-9999人,http://www.ganji.com/gongsi/105372931/?postUser=690782488,2017/12/14
普工/学徒工,北京-海淀,不限                        ,不限,5000-8000元,计算机/网络/通信,6人,"包吃,包住,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,加班补助,做五休二,年底双薪,员工体检","岗位职责：1、完成软件系统代码的实现，编写代码注释和开发文档；2、辅助进行系统的功能定义,程序设计；3、根据设计文档或需求说明完成代码编写，调试，测试和维护；4、分析并解决软件开发过程中的问题；5、协助测试工程师制定测试计划，定位发现的问题；6、配合项目经理完成相关任务目标。任职资格：1、计算机或相关专业专科学历以上；2、1年以上软件开发经验；3、熟悉面向对象思想，精通编程，调试和相关技术；4、熟悉应用服务器的安装、调试、配置及使用；5、具备需求分析和系统设计能力，、以及较强的逻辑分析和独立解决问题能力；6、能熟练阅读中文、英文技术文档；富有团队精神,责任感和沟通能力。工作地址：北京中关村软件园",互联网佳（北京）信息服务有限公司,计算机/网络/通信,1000-9999人,http://www.ganji.com/gongsi/105372931/?postUser=690782488,2017/12/13
财务/会计助理,上海-闵行,不限                        ,大专,3000-5000元,计算机/网络/通信,1人,"餐补,交通补助,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,加班补助,做五休二,年底双薪","岗位职责：1日常公司所有现金的报销，支取，核对等工作。2日常银行网银付款，付款核查，制单等工作。3根据公司业务整理财务相关表格制作与发送。4负责与业务部门做好财务相关数据分析与核对。5协助主管完成其他日常事务性工作;任职要求：1、学历：大专以上学历，财务、会计专业优先,欢迎应届毕业生；2、熟悉现金管理和银行结算，熟悉财务软件的操作；3、具有较强的独立学习和工作的能力，工作踏实，认真细心，积极主动；4、工作有担当，性格开朗，良好的沟通协调能力;5、办事认真细致，高度的责任感与主动性;6、熟悉OFFICE系列办公软件，能熟练操作WORD、EXCEL等软件;",上海联博众赢网络科技有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106054655/,2018/1/3
通信技术工程师,北京-海淀,不限                        ,不限,5000-8000元,计算机/网络/通信,7人,"包吃,包住,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,加班补助,做五休二,年底双薪,员工体检",任职要求：1、对IT行业，尤其是软件开发有足够的兴趣，想从事这个高薪行业。2、大专及其以上学历（特别优秀者除外），男女不限。3、年龄：18～30周岁，无重大传染疾病。4、应、往届生不限，理科生优先，有点计算机语言基础者优先，喜欢网络及技术开发者优先。5、不限学科背景，可跨专业，跨专业，零基础者均可。6、实习周期：2-4个月。福利待遇：1、新员工实习期间免费提供住宿，中心配有员工食堂及宿舍2、实习入职前签订《工作就业协议》，确保100%工作入职并明确年薪8-15W。3、实习期结束后，项目考核合格后由人事部签订正式劳动合同（可签三方协议）、办理组织关系迁转、享受国家规定的保险福利待遇（五险一金、带薪年假、各项补助等），部分岗位可转京籍。4、公司提供有竞争力的附加福利：13-16薪、带薪年假、生日聚餐、外出旅游、出国深造等。工作时间：周一至周五工作制、员工享有年假（逐年增加）、事假、病假、产假、婚假等以及春节、元旦、五一、十一等国家规定的法定节假日,互联网佳（北京）信息服务有限公司,计算机/网络/通信,1000-9999人,http://www.ganji.com/gongsi/105372931/?postUser=690782488,2017/10/8
